/home/samuele.angheben/vr_env/lib64/python3.9/site-packages/networkx/utils/backends.py:135: RuntimeWarning: networkx backend defined more than once: nx-loopback
  backends.update(_get_backends("networkx.backends"))
Loaded dataset with categories: ['Faces', 'Faces_easy', 'Leopards', 'Motorbikes', 'accordion', 'airplanes', 'anchor', 'ant', 'barrel', 'bass', 'beaver', 'binocular', 'bonsai', 'brain', 'brontosaurus', 'buddha', 'butterfly', 'camera', 'cannon', 'car_side', 'ceiling_fan', 'cellphone', 'chair', 'chandelier', 'cougar_body', 'cougar_face', 'crab', 'crayfish', 'crocodile', 'crocodile_head', 'cup', 'dalmatian', 'dollar_bill', 'dolphin', 'dragonfly', 'electric_guitar', 'elephant', 'emu', 'euphonium', 'ewer', 'ferry', 'flamingo', 'flamingo_head', 'garfield', 'gerenuk', 'gramophone', 'grand_piano', 'hawksbill', 'headphone', 'hedgehog', 'helicopter', 'ibis', 'inline_skate', 'joshua_tree', 'kangaroo', 'ketch', 'lamp', 'laptop', 'llama', 'lobster', 'lotus', 'mandolin', 'mayfly', 'menorah', 'metronome', 'minaret', 'nautilus', 'octopus', 'okapi', 'pagoda', 'panda', 'pigeon', 'pizza', 'platypus', 'pyramid', 'revolver', 'rhino', 'rooster', 'saxophone', 'schooner', 'scissors', 'scorpion', 'sea_horse', 'snoopy', 'soccer_ball', 'stapler', 'starfish', 'stegosaurus', 'stop_sign', 'strawberry', 'sunflower', 'tick', 'trilobite', 'umbrella', 'watch', 'water_lilly', 'wheelchair', 'wild_cat', 'windsor_chair', 'wrench', 'yin_yang']
 Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s] Loading checkpoint shards:  50%|█████     | 1/2 [00:00<00:00,  1.44it/s] Loading checkpoint shards: 100%|██████████| 2/2 [00:01<00:00,  1.66it/s] Loading checkpoint shards: 100%|██████████| 2/2 [00:01<00:00,  1.62it/s]
Using a slow image processor as `use_fast` is unset and a slow processor was saved with this model. `use_fast=True` will be the default behavior in v4.52, even if the model was saved with a slow processor. This will result in minor differences in outputs. You'll still be able to use a slow processor with `use_fast=False`.
[prompt11] Example 1219: label=dolphin, prediction=Dolphins jumping. [✗ WRONG]
[prompt11] Example 1220: label=dolphin, prediction=Dolphin. [✓ CORRECT]
[prompt11] Example 1221: label=dolphin, prediction=Dolphin. [✓ CORRECT]
[prompt11] Example 1222: label=dolphin, prediction=Dolphin and moon. [✓ CORRECT]
[prompt11] Example 1223: label=dolphin, prediction=Dolphin. [✓ CORRECT]
[prompt11] Example 1224: label=dragonfly, prediction=Dragonfly illustration. [✓ CORRECT]
[prompt11] Example 1225: label=dragonfly, prediction=Dragonfly drawing. [✓ CORRECT]
[prompt11] Example 1226: label=dragonfly, prediction=Dragonfly. [✓ CORRECT]
[prompt11] Example 1227: label=dragonfly, prediction=Dragonfly. [✓ CORRECT]
[prompt11] Example 1228: label=dragonfly, prediction=Dragonfly illustration. [✓ CORRECT]
[prompt11] Example 1229: label=dragonfly, prediction=Dragonfly model. [✓ CORRECT]
[prompt11] Example 1230: label=dragonfly, prediction=Dragonfly. [✓ CORRECT]
[prompt11] Example 1231: label=dragonfly, prediction=Plant specimen [✗ WRONG]
[prompt11] Example 1232: label=dragonfly, prediction=Dragonfly illustration. [✓ CORRECT]
[prompt11] Example 1233: label=dragonfly, prediction=Dragonfly. [✓ CORRECT]
[prompt11] Example 1234: label=dragonfly, prediction=Dragonfly model. [✓ CORRECT]
[prompt11] Example 1235: label=dragonfly, prediction=Dragonfly illustration. [✓ CORRECT]
[prompt11] Example 1236: label=dragonfly, prediction=Dragonfly sculpture. [✓ CORRECT]
[prompt11] Example 1237: label=dragonfly, prediction=Dragonfly. [✓ CORRECT]
[prompt11] Example 1238: label=dragonfly, prediction=Dragonfly. [✓ CORRECT]
[prompt11] Example 1239: label=dragonfly, prediction=Dragonfly. [✓ CORRECT]
[prompt11] Example 1240: label=dragonfly, prediction=Red dragonfly. [✓ CORRECT]
[prompt11] Example 1241: label=dragonfly, prediction=Dragonfly. [✓ CORRECT]
[prompt11] Example 1242: label=dragonfly, prediction=Dragonfly. [✓ CORRECT]
[prompt11] Example 1243: label=dragonfly, prediction=Dragonfly. [✓ CORRECT]
[prompt11] Example 1244: label=electric_guitar, prediction=Electric guitar. [✓ CORRECT]
[prompt11] Example 1245: label=electric_guitar, prediction=Electric guitar. [✓ CORRECT]
[prompt11] Example 1246: label=electric_guitar, prediction=Electric guitar. [✓ CORRECT]
[prompt11] Example 1247: label=electric_guitar, prediction=Acoustic guitar [✗ WRONG]
[prompt11] Example 1248: label=electric_guitar, prediction=Guitar. [✗ WRONG]
[prompt11] Example 1249: label=electric_guitar, prediction=Guitar [✗ WRONG]
[prompt11] Example 1250: label=electric_guitar, prediction=Electric guitar. [✓ CORRECT]
[prompt11] Example 1251: label=electric_guitar, prediction=Electric guitar. [✓ CORRECT]
[prompt11] Example 1252: label=electric_guitar, prediction=Guitar. [✗ WRONG]
[prompt11] Example 1253: label=electric_guitar, prediction=Guitar. [✗ WRONG]
[prompt11] Example 1254: label=electric_guitar, prediction=Electric guitar. [✓ CORRECT]
[prompt11] Example 1255: label=electric_guitar, prediction=Guitar. [✗ WRONG]
[prompt11] Example 1256: label=electric_guitar, prediction=Bass guitar. [✗ WRONG]
[prompt11] Example 1257: label=electric_guitar, prediction=Guitar. [✗ WRONG]
[prompt11] Example 1258: label=electric_guitar, prediction=Electric guitar. [✓ CORRECT]
[prompt11] Example 1259: label=electric_guitar, prediction=Guitars. [✗ WRONG]
[prompt11] Example 1260: label=electric_guitar, prediction=Guitar. [✗ WRONG]
[prompt11] Example 1261: label=electric_guitar, prediction=Electric guitar. [✓ CORRECT]
[prompt11] Example 1262: label=electric_guitar, prediction=Electric guitar. [✓ CORRECT]
[prompt11] Example 1263: label=electric_guitar, prediction=Electric guitar. [✓ CORRECT]
[prompt11] Example 1264: label=electric_guitar, prediction=Electric guitar. [✓ CORRECT]
[prompt11] Example 1265: label=electric_guitar, prediction=Electric guitar. [✓ CORRECT]
[prompt11] Example 1266: label=elephant, prediction=Elephant walking. [✓ CORRECT]
[prompt11] Example 1267: label=elephant, prediction=Elephant walking. [✓ CORRECT]
[prompt11] Example 1268: label=elephant, prediction=Elephant. [✓ CORRECT]
[prompt11] Example 1269: label=elephant, prediction=Elephant flying. [✓ CORRECT]
[prompt11] Example 1270: label=elephant, prediction=Elephant. [✓ CORRECT]
[prompt11] Example 1271: label=elephant, prediction=Elephant. [✓ CORRECT]
[prompt11] Example 1272: label=elephant, prediction=Elephant statue. [✓ CORRECT]
[prompt11] Example 1273: label=elephant, prediction=elephant [✓ CORRECT]
[prompt11] Example 1274: label=elephant, prediction=Elephant calf. [✓ CORRECT]
[prompt11] Example 1275: label=elephant, prediction=Elephant walking. [✓ CORRECT]
[prompt11] Example 1276: label=elephant, prediction=elephant [✓ CORRECT]
[prompt11] Example 1277: label=elephant, prediction=elephant statue [✓ CORRECT]
[prompt11] Example 1278: label=elephant, prediction=Elephant. [✓ CORRECT]
[prompt11] Example 1279: label=elephant, prediction=Elephant with blanket. [✓ CORRECT]
[prompt11] Example 1280: label=elephant, prediction=Elephant walking. [✓ CORRECT]
[prompt11] Example 1281: label=elephant, prediction=Elephant. [✓ CORRECT]
[prompt11] Example 1282: label=elephant, prediction=Elephant with saddle. [✓ CORRECT]
[prompt11] Example 1283: label=elephant, prediction=elephant [✓ CORRECT]
[prompt11] Example 1284: label=elephant, prediction=Elephant statue. [✓ CORRECT]
[prompt11] Example 1285: label=emu, prediction=Emu. [✓ CORRECT]
[prompt11] Example 1286: label=emu, prediction=Emu. [✓ CORRECT]
[prompt11] Example 1287: label=emu, prediction=Emu [✓ CORRECT]
[prompt11] Example 1288: label=emu, prediction=Ostrich [✗ WRONG]
[prompt11] Example 1289: label=emu, prediction=Emu. [✓ CORRECT]
[prompt11] Example 1290: label=emu, prediction=Emu family [✓ CORRECT]
[prompt11] Example 1291: label=emu, prediction=Emu. [✓ CORRECT]
[prompt11] Example 1292: label=emu, prediction=Emu bird. [✓ CORRECT]
[prompt11] Example 1293: label=emu, prediction=Emu. [✓ CORRECT]
[prompt11] Example 1294: label=emu, prediction=Emu family. [✓ CORRECT]
[prompt11] Example 1295: label=emu, prediction=Emu and chick. [✓ CORRECT]
[prompt11] Example 1296: label=emu, prediction=Emu bird. [✓ CORRECT]
[prompt11] Example 1297: label=emu, prediction=Emu bird. [✓ CORRECT]
[prompt11] Example 1298: label=emu, prediction=Ostrich. [✗ WRONG]
[prompt11] Example 1299: label=emu, prediction=Emu. [✓ CORRECT]
[prompt11] Example 1300: label=emu, prediction=Emu chick. [✓ CORRECT]
[prompt11] Example 1301: label=euphonium, prediction=Tuba. [✗ WRONG]
[prompt11] Example 1302: label=euphonium, prediction=Tuba. [✗ WRONG]
[prompt11] Example 1303: label=euphonium, prediction=Tuba instrument. [✗ WRONG]
[prompt11] Example 1304: label=euphonium, prediction=Trumpet player. [✗ WRONG]
[prompt11] Example 1305: label=euphonium, prediction=Tuba. [✗ WRONG]
[prompt11] Example 1306: label=euphonium, prediction=Tuba. [✗ WRONG]
[prompt11] Example 1307: label=euphonium, prediction=tuba [✗ WRONG]
[prompt11] Example 1308: label=euphonium, prediction=Cornet. [✗ WRONG]
[prompt11] Example 1309: label=euphonium, prediction=Trumpet case [✗ WRONG]
[prompt11] Example 1310: label=euphonium, prediction=Tuba. [✗ WRONG]
[prompt11] Example 1311: label=euphonium, prediction=Trumpet. [✗ WRONG]
[prompt11] Example 1312: label=euphonium, prediction=Tuba. [✗ WRONG]
[prompt11] Example 1313: label=euphonium, prediction=French horn [✗ WRONG]
[prompt11] Example 1314: label=euphonium, prediction=Musical instruments. [✗ WRONG]
[prompt11] Example 1315: label=euphonium, prediction=Trumpet. [✗ WRONG]
[prompt11] Example 1316: label=euphonium, prediction=Tuba in case. [✗ WRONG]
[prompt11] Example 1317: label=euphonium, prediction=Trumpet. [✗ WRONG]
[prompt11] Example 1318: label=euphonium, prediction=Trumpet. [✗ WRONG]
[prompt11] Example 1319: label=euphonium, prediction=Tuba. [✗ WRONG]
[prompt11] Example 1320: label=ewer, prediction=Vase with handle. [✗ WRONG]
[prompt11] Example 1321: label=ewer, prediction=Silver pitcher. [✗ WRONG]
[prompt11] Example 1322: label=ewer, prediction=Silver pitcher. [✗ WRONG]
[prompt11] Example 1323: label=ewer, prediction=Vase with ship design. [✗ WRONG]
[prompt11] Example 1324: label=ewer, prediction=Pitcher with landscape design. [✗ WRONG]
[prompt11] Example 1325: label=ewer, prediction=Vase with floral design. [✗ WRONG]
[prompt11] Example 1326: label=ewer, prediction=Silver goblet. [✗ WRONG]
[prompt11] Example 1327: label=ewer, prediction=Pitcher and bowl. [✗ WRONG]
[prompt11] Example 1328: label=ewer, prediction=Teapot. [✗ WRONG]
[prompt11] Example 1329: label=ewer, prediction=Blue and white pitcher. [✗ WRONG]
[prompt11] Example 1330: label=ewer, prediction=Vase with fruit design. [✗ WRONG]
[prompt11] Example 1331: label=ewer, prediction=Teapot with floral design. [✗ WRONG]
[prompt11] Example 1332: label=ewer, prediction=Porcelain pitcher and bowl. [✗ WRONG]
[prompt11] Example 1333: label=ewer, prediction=Vase. [✗ WRONG]
[prompt11] Example 1334: label=ewer, prediction=Coffee pot. [✗ WRONG]
[prompt11] Example 1335: label=ewer, prediction=bowl and pitcher [✗ WRONG]
[prompt11] Example 1336: label=ewer, prediction=Porcelain pitcher. [✗ WRONG]
[prompt11] Example 1337: label=ewer, prediction=Pitcher with stripes. [✗ WRONG]
[prompt11] Example 1338: label=ewer, prediction=Pitcher with floral design. [✗ WRONG]
[prompt11] Example 1339: label=ewer, prediction=Ancient pitcher. [✗ WRONG]
[prompt11] Example 1340: label=ewer, prediction=Vase with flowers. [✗ WRONG]
[prompt11] Example 1341: label=ewer, prediction=Pitcher with floral design. [✗ WRONG]
[prompt11] Example 1342: label=ewer, prediction=Pitcher with floral design. [✗ WRONG]
[prompt11] Example 1343: label=ewer, prediction=Silver pitcher. [✗ WRONG]
[prompt11] Example 1344: label=ewer, prediction=Vase with flowers. [✗ WRONG]
[prompt11] Example 1345: label=ewer, prediction=Vase with flowers. [✗ WRONG]
[prompt11] Example 1346: label=ferry, prediction=Ferry boat. [✓ CORRECT]
[prompt11] Example 1347: label=ferry, prediction=Ferry ship. [✓ CORRECT]
[prompt11] Example 1348: label=ferry, prediction=Riverboat. [✗ WRONG]
[prompt11] Example 1349: label=ferry, prediction=Toy ship model. [✗ WRONG]
[prompt11] Example 1350: label=ferry, prediction=Boat. [✗ WRONG]
[prompt11] Example 1351: label=ferry, prediction=Ferry boat. [✓ CORRECT]
[prompt11] Example 1352: label=ferry, prediction=Ship. [✗ WRONG]
[prompt11] Example 1353: label=ferry, prediction=Boat. [✗ WRONG]
[prompt11] Example 1354: label=ferry, prediction=Ferry boat. [✓ CORRECT]
[prompt11] Example 1355: label=ferry, prediction=boat [✗ WRONG]
[prompt11] Example 1356: label=ferry, prediction=Ferry boat. [✓ CORRECT]
[prompt11] Example 1357: label=ferry, prediction=Ferry ship. [✓ CORRECT]
[prompt11] Example 1358: label=ferry, prediction=Boat on river [✗ WRONG]
[prompt11] Example 1359: label=ferry, prediction=Ferry boat. [✓ CORRECT]
[prompt11] Example 1360: label=ferry, prediction=Ship. [✗ WRONG]
[prompt11] Example 1361: label=ferry, prediction=Ferry boat. [✓ CORRECT]
[prompt11] Example 1362: label=ferry, prediction=Ferry boat. [✓ CORRECT]
[prompt11] Example 1363: label=ferry, prediction=Boat. [✗ WRONG]
[prompt11] Example 1364: label=ferry, prediction=Cargo ship. [✗ WRONG]
[prompt11] Example 1365: label=ferry, prediction=Ferry boat. [✓ CORRECT]
[prompt11] Example 1366: label=flamingo, prediction=Flamingos. [✗ WRONG]
[prompt11] Example 1367: label=flamingo, prediction=Flamingos. [✗ WRONG]
[prompt11] Example 1368: label=flamingo, prediction=Flamingo statue. [✓ CORRECT]
[prompt11] Example 1369: label=flamingo, prediction=Flamingo. [✓ CORRECT]
[prompt11] Example 1370: label=flamingo, prediction=Flamingo. [✓ CORRECT]
[prompt11] Example 1371: label=flamingo, prediction=Flamingo. [✓ CORRECT]
[prompt11] Example 1372: label=flamingo, prediction=Flamingos. [✗ WRONG]
[prompt11] Example 1373: label=flamingo, prediction=Flamingo statue. [✓ CORRECT]
[prompt11] Example 1374: label=flamingo, prediction=Flamingo. [✓ CORRECT]
[prompt11] Example 1375: label=flamingo, prediction=Flamingo bird. [✓ CORRECT]
[prompt11] Example 1376: label=flamingo, prediction=Flamingo. [✓ CORRECT]
[prompt11] Example 1377: label=flamingo, prediction=Flamingo. [✓ CORRECT]
[prompt11] Example 1378: label=flamingo, prediction=Flamingo. [✓ CORRECT]
[prompt11] Example 1379: label=flamingo, prediction=Flamingo painting. [✓ CORRECT]
[prompt11] Example 1380: label=flamingo, prediction=Flamingo. [✓ CORRECT]
[prompt11] Example 1381: label=flamingo, prediction=Flamingo. [✓ CORRECT]
[prompt11] Example 1382: label=flamingo, prediction=Flamingo statue. [✓ CORRECT]
[prompt11] Example 1383: label=flamingo, prediction=Flamingo statue. [✓ CORRECT]
[prompt11] Example 1384: label=flamingo, prediction=Flamingo statue [✓ CORRECT]
[prompt11] Example 1385: label=flamingo, prediction=Flamingo statue. [✓ CORRECT]
[prompt11] Example 1386: label=flamingo_head, prediction=Flamingo. [✗ WRONG]
[prompt11] Example 1387: label=flamingo_head, prediction=Flamingo. [✗ WRONG]
[prompt11] Example 1388: label=flamingo_head, prediction=Flamingo. [✗ WRONG]
[prompt11] Example 1389: label=flamingo_head, prediction=Flamingo [✗ WRONG]
[prompt11] Example 1390: label=flamingo_head, prediction=Flamingo mosaic art. [✗ WRONG]
[prompt11] Example 1391: label=flamingo_head, prediction=Flamingo. [✗ WRONG]
[prompt11] Example 1392: label=flamingo_head, prediction=Flamingo [✗ WRONG]
[prompt11] Example 1393: label=flamingo_head, prediction=Flamingo [✗ WRONG]
[prompt11] Example 1394: label=flamingo_head, prediction=Flamingo. [✗ WRONG]
[prompt11] Example 1395: label=flamingo_head, prediction=Bird, flamingo, pink. [✗ WRONG]
[prompt11] Example 1396: label=flamingo_head, prediction=Flamingo. [✗ WRONG]
[prompt11] Example 1397: label=flamingo_head, prediction=Flamingo. [✗ WRONG]
[prompt11] Example 1398: label=flamingo_head, prediction=Flamingo statue. [✗ WRONG]
[prompt11] Example 1399: label=flamingo_head, prediction=Flamingo [✗ WRONG]
[prompt11] Example 1400: label=garfield, prediction=Garfield cartoon cat. [✓ CORRECT]
[prompt11] Example 1401: label=garfield, prediction=Garfield plush toy [✓ CORRECT]
[prompt11] Example 1402: label=garfield, prediction=Garfield cartoon cat. [✓ CORRECT]
[prompt11] Example 1403: label=garfield, prediction=Garfield cartoon cat. [✓ CORRECT]
[prompt11] Example 1404: label=garfield, prediction=Garfield Halloween costume. [✓ CORRECT]
[prompt11] Example 1405: label=garfield, prediction=Garfield drawing. [✓ CORRECT]
[prompt11] Example 1406: label=garfield, prediction=Garfield cartoon. [✓ CORRECT]
[prompt11] Example 1407: label=garfield, prediction=Garfield cartoon. [✓ CORRECT]
[prompt11] Example 1408: label=garfield, prediction=Garfield cartoon cat. [✓ CORRECT]
[prompt11] Example 1409: label=garfield, prediction=Garfield cartoon character. [✓ CORRECT]
[prompt11] Example 1410: label=gerenuk, prediction=Antelope [✗ WRONG]
[prompt11] Example 1411: label=gerenuk, prediction=Antelope. [✗ WRONG]
[prompt11] Example 1412: label=gerenuk, prediction=Gazelle [✗ WRONG]
[prompt11] Example 1413: label=gerenuk, prediction=Caracal cat [✗ WRONG]
[prompt11] Example 1414: label=gerenuk, prediction=Gazelle. [✗ WRONG]
[prompt11] Example 1415: label=gerenuk, prediction=Deer climbing tree. [✗ WRONG]
[prompt11] Example 1416: label=gerenuk, prediction=Antelope. [✗ WRONG]
[prompt11] Example 1417: label=gerenuk, prediction=Animal jumping [✗ WRONG]
[prompt11] Example 1418: label=gerenuk, prediction=Antelope. [✗ WRONG]
[prompt11] Example 1419: label=gerenuk, prediction=Gazelle. [✗ WRONG]
[prompt11] Example 1420: label=gramophone, prediction=Gramophone. [✓ CORRECT]
[prompt11] Example 1421: label=gramophone, prediction=Gramophone. [✓ CORRECT]
[prompt11] Example 1422: label=gramophone, prediction=Gramophone. [✓ CORRECT]
[prompt11] Example 1423: label=gramophone, prediction=Gramophone record player. [✓ CORRECT]
[prompt11] Example 1424: label=gramophone, prediction=Gramophone horn. [✓ CORRECT]
[prompt11] Example 1425: label=gramophone, prediction=Gramophone record player. [✓ CORRECT]
[prompt11] Example 1426: label=gramophone, prediction=Gramophone. [✓ CORRECT]
[prompt11] Example 1427: label=gramophone, prediction=Gramophone. [✓ CORRECT]
[prompt11] Example 1428: label=gramophone, prediction=Gramophone [✓ CORRECT]
[prompt11] Example 1429: label=gramophone, prediction=Gramophone. [✓ CORRECT]
[prompt11] Example 1430: label=gramophone, prediction=Gramophone. [✓ CORRECT]
[prompt11] Example 1431: label=gramophone, prediction=Gramophone. [✓ CORRECT]
[prompt11] Example 1432: label=gramophone, prediction=Gramophone [✓ CORRECT]
[prompt11] Example 1433: label=gramophone, prediction=Dog listening to gramophone. [✓ CORRECT]
[prompt11] Example 1434: label=gramophone, prediction=Gramophone. [✓ CORRECT]
[prompt11] Example 1435: label=grand_piano, prediction=Grand piano. [✓ CORRECT]
[prompt11] Example 1436: label=grand_piano, prediction=Grand piano. [✓ CORRECT]
[prompt11] Example 1437: label=grand_piano, prediction=Piano. [✗ WRONG]
[prompt11] Example 1438: label=grand_piano, prediction=Grand piano. [✓ CORRECT]
[prompt11] Example 1439: label=grand_piano, prediction=Electronic piano. [✗ WRONG]
[prompt11] Example 1440: label=grand_piano, prediction=Piano [✗ WRONG]
[prompt11] Example 1441: label=grand_piano, prediction=Piano [✗ WRONG]
[prompt11] Example 1442: label=grand_piano, prediction=Grand piano. [✓ CORRECT]
[prompt11] Example 1443: label=grand_piano, prediction=Grand piano. [✓ CORRECT]
[prompt11] Example 1444: label=grand_piano, prediction=Piano [✗ WRONG]
[prompt11] Example 1445: label=grand_piano, prediction=Grand piano. [✓ CORRECT]
[prompt11] Example 1446: label=grand_piano, prediction=Piano [✗ WRONG]
[prompt11] Example 1447: label=grand_piano, prediction=Grand piano. [✓ CORRECT]
[prompt11] Example 1448: label=grand_piano, prediction=Piano [✗ WRONG]
[prompt11] Example 1449: label=grand_piano, prediction=Grand piano [✓ CORRECT]
[prompt11] Example 1450: label=grand_piano, prediction=Piano [✗ WRONG]
[prompt11] Example 1451: label=grand_piano, prediction=Grand piano [✓ CORRECT]
[prompt11] Example 1452: label=grand_piano, prediction=Piano [✗ WRONG]
[prompt11] Example 1453: label=grand_piano, prediction=Grand piano [✓ CORRECT]
[prompt11] Example 1454: label=grand_piano, prediction=Piano. [✗ WRONG]
[prompt11] Example 1455: label=grand_piano, prediction=Piano model. [✗ WRONG]
[prompt11] Example 1456: label=grand_piano, prediction=Grand piano. [✓ CORRECT]
[prompt11] Example 1457: label=grand_piano, prediction=Grand piano. [✓ CORRECT]
[prompt11] Example 1458: label=grand_piano, prediction=Piano [✗ WRONG]
[prompt11] Example 1459: label=grand_piano, prediction=Piano. [✗ WRONG]
[prompt11] Example 1460: label=grand_piano, prediction=Piano [✗ WRONG]
[prompt11] Example 1461: label=grand_piano, prediction=Grand piano. [✓ CORRECT]
[prompt11] Example 1462: label=grand_piano, prediction=Grand piano. [✓ CORRECT]
[prompt11] Example 1463: label=grand_piano, prediction=Grand piano [✓ CORRECT]
[prompt11] Example 1464: label=hawksbill, prediction=Turtle swimming. [✗ WRONG]
[prompt11] Example 1465: label=hawksbill, prediction=Turtle. [✗ WRONG]
[prompt11] Example 1466: label=hawksbill, prediction=Turtle. [✗ WRONG]
[prompt11] Example 1467: label=hawksbill, prediction=Turtle. [✗ WRONG]
[prompt11] Example 1468: label=hawksbill, prediction=Turtle. [✗ WRONG]
[prompt11] Example 1469: label=hawksbill, prediction=Turtle. [✗ WRONG]
[prompt11] Example 1470: label=hawksbill, prediction=Turtle. [✗ WRONG]
[prompt11] Example 1471: label=hawksbill, prediction=Turtle toy [✗ WRONG]
[prompt11] Example 1472: label=hawksbill, prediction=Turtle. [✗ WRONG]
[prompt11] Example 1473: label=hawksbill, prediction=Turtle. [✗ WRONG]
[prompt11] Example 1474: label=hawksbill, prediction=Turtle. [✗ WRONG]
[prompt11] Example 1475: label=hawksbill, prediction=Turtle. [✗ WRONG]
[prompt11] Example 1476: label=hawksbill, prediction=Turtle. [✗ WRONG]
[prompt11] Example 1477: label=hawksbill, prediction=Sea turtle. [✗ WRONG]
[prompt11] Example 1478: label=hawksbill, prediction=Turtle. [✗ WRONG]
[prompt11] Example 1479: label=hawksbill, prediction=Turtle. [✗ WRONG]
[prompt11] Example 1480: label=hawksbill, prediction=Turtle swimming. [✗ WRONG]
[prompt11] Example 1481: label=hawksbill, prediction=Turtle swimming. [✗ WRONG]
[prompt11] Example 1482: label=hawksbill, prediction=Turtle swimming. [✗ WRONG]
[prompt11] Example 1483: label=hawksbill, prediction=Turtle. [✗ WRONG]
[prompt11] Example 1484: label=hawksbill, prediction=Turtle. [✗ WRONG]
[prompt11] Example 1485: label=hawksbill, prediction=Turtle swimming. [✗ WRONG]
[prompt11] Example 1486: label=hawksbill, prediction=Turtle swimming. [✗ WRONG]
[prompt11] Example 1487: label=hawksbill, prediction=Turtle. [✗ WRONG]
[prompt11] Example 1488: label=hawksbill, prediction=Tortoise. [✗ WRONG]
[prompt11] Example 1489: label=hawksbill, prediction=Turtle. [✗ WRONG]
[prompt11] Example 1490: label=hawksbill, prediction=Turtle swimming. [✗ WRONG]
[prompt11] Example 1491: label=hawksbill, prediction=Turtle. [✗ WRONG]
[prompt11] Example 1492: label=hawksbill, prediction=Turtle. [✗ WRONG]
[prompt11] Example 1493: label=hawksbill, prediction=Turtle. [✗ WRONG]
[prompt11] Example 1494: label=headphone, prediction=Headset with microphone. [✗ WRONG]
[prompt11] Example 1495: label=headphone, prediction=Headphones. [✗ WRONG]
[prompt11] Example 1496: label=headphone, prediction=Headphones. [✗ WRONG]
[prompt11] Example 1497: label=headphone, prediction=Headphones with microphone. [✗ WRONG]
[prompt11] Example 1498: label=headphone, prediction=Headphones. [✗ WRONG]
[prompt11] Example 1499: label=headphone, prediction=Headphones. [✗ WRONG]
[prompt11] Example 1500: label=headphone, prediction=Headphones. [✗ WRONG]
[prompt11] Example 1501: label=headphone, prediction=Headphones. [✗ WRONG]
[prompt11] Example 1502: label=headphone, prediction=Headset with microphone. [✗ WRONG]
[prompt11] Example 1503: label=headphone, prediction=Headphones with microphone. [✗ WRONG]
[prompt11] Example 1504: label=headphone, prediction=Wireless microphone set. [✗ WRONG]
[prompt11] Example 1505: label=headphone, prediction=Headphones. [✗ WRONG]
[prompt11] Example 1506: label=headphone, prediction=Headphones. [✗ WRONG]
[prompt11] Example 1507: label=hedgehog, prediction=Hedgehog. [✓ CORRECT]
[prompt11] Example 1508: label=hedgehog, prediction=Hedgehog. [✓ CORRECT]
[prompt11] Example 1509: label=hedgehog, prediction=Hedgehog. [✓ CORRECT]
[prompt11] Example 1510: label=hedgehog, prediction=Hedgehog. [✓ CORRECT]
[prompt11] Example 1511: label=hedgehog, prediction=Hedgehog. [✓ CORRECT]
[prompt11] Example 1512: label=hedgehog, prediction=Bat. [✗ WRONG]
[prompt11] Example 1513: label=hedgehog, prediction=Hedgehog. [✓ CORRECT]
[prompt11] Example 1514: label=hedgehog, prediction=Hedgehog. [✓ CORRECT]
[prompt11] Example 1515: label=hedgehog, prediction=Echidna. [✗ WRONG]
[prompt11] Example 1516: label=hedgehog, prediction=Hedgehog [✓ CORRECT]
[prompt11] Example 1517: label=hedgehog, prediction=Hedgehog. [✓ CORRECT]
[prompt11] Example 1518: label=hedgehog, prediction=Hedgehog. [✓ CORRECT]
[prompt11] Example 1519: label=hedgehog, prediction=Hedgehog with orange ball. [✓ CORRECT]
[prompt11] Example 1520: label=hedgehog, prediction=Hedgehog statue. [✓ CORRECT]
[prompt11] Example 1521: label=hedgehog, prediction=Hedgehog. [✓ CORRECT]
[prompt11] Example 1522: label=hedgehog, prediction=Hedgehog. [✓ CORRECT]
[prompt11] Example 1523: label=helicopter, prediction=Helicopter. [✓ CORRECT]
[prompt11] Example 1524: label=helicopter, prediction=Helicopter. [✓ CORRECT]
[prompt11] Example 1525: label=helicopter, prediction=Helicopter flying. [✓ CORRECT]
[prompt11] Example 1526: label=helicopter, prediction=Helicopter. [✓ CORRECT]
[prompt11] Example 1527: label=helicopter, prediction=Helicopter with water bucket. [✓ CORRECT]
[prompt11] Example 1528: label=helicopter, prediction=Helicopter. [✓ CORRECT]
[prompt11] Example 1529: label=helicopter, prediction=Helicopter. [✓ CORRECT]
[prompt11] Example 1530: label=helicopter, prediction=Helicopter. [✓ CORRECT]
[prompt11] Example 1531: label=helicopter, prediction=Helicopter. [✓ CORRECT]
[prompt11] Example 1532: label=helicopter, prediction=Helicopter. [✓ CORRECT]
[prompt11] Example 1533: label=helicopter, prediction=Helicopter. [✓ CORRECT]
[prompt11] Example 1534: label=helicopter, prediction=Helicopter [✓ CORRECT]
[prompt11] Example 1535: label=helicopter, prediction=Helicopter. [✓ CORRECT]
[prompt11] Example 1536: label=helicopter, prediction=Helicopter. [✓ CORRECT]
[prompt11] Example 1537: label=helicopter, prediction=Helicopter with fuel tanks. [✓ CORRECT]
[prompt11] Example 1538: label=helicopter, prediction=Helicopter. [✓ CORRECT]
[prompt11] Example 1539: label=helicopter, prediction=Helicopter flying. [✓ CORRECT]
[prompt11] Example 1540: label=helicopter, prediction=Helicopter. [✓ CORRECT]
